MSOA11,AbsXSMeanM,AbsXSMedianM,AbsXSL95M,AbsXSU95M,PosteriorProbabilityM,RelXSMeanM,RelXSMedianM,RelXSL95M,RelXSU95M,M40plus,XSrateM,pcIncM,AbsXSMeanF,AbsXSMedianF,AbsXSL95f,AbsXSU95F,PosteriorProbabilityF,RelXSMeanF,RelXSMedianF,RelXSL95F,RelXSU95F,F40plus,XSrateF,pcIncF
E02001356,2.0006927,1.915897989,-1.763633347,6.24172973,0.839025,1.313000417,1.276384582,0.791257044,2.048189075,1311,152.6081388,31.30004174,1.330281218,1.234859054,-2.921861818,6.157993243,0.71485,1.21233827,1.170056137,0.679075926,1.988361096,1611,82.57487386,21.23382701
E02001357,4.656791785,4.529380355,-0.643802037,10.6759558,0.956825,1.504123056,1.472152268,0.942462291,2.250648831,1345,346.2298725,50.41230558,4.295837329,4.074784654,-2.165485321,12.02528926,0.89075,1.393464446,1.350911363,0.839580858,2.195438819,1802,238.3927486,39.34644462
E02001358,2.882240669,2.780240877,-1.511969699,7.862938588,0.891475,1.369649398,1.337041214,0.84614354,2.078849735,1554,185.4723725,36.96493976,4.538465786,4.328852349,-1.026773033,11.27561627,0.93875,1.584225984,1.524698318,0.897466615,2.615973252,1569,289.258495,58.42259844
E02001359,1.682295475,1.584998378,-2.258308916,6.199280504,0.784775,1.23085447,1.197204719,0.764820343,1.893937305,1394,120.6811675,23.08544698,-0.530651813,-0.593819596,-4.336423921,3.635854186,0.3805,0.955334201,0.92171129,0.540575118,1.558098777,1610,-32.95973991,-4.466579899
E02001360,3.268271298,3.167264822,-3.2185845,10.39568049,0.8319,1.263957968,1.237658752,0.797838601,1.883889813,1987,164.4827025,26.39579682,3.998160983,3.830069958,-2.798125025,11.76649592,0.867775,1.384678911,1.34029782,0.798413475,2.241319633,2101,190.2980001,38.46789109
E02001361,4.726025382,4.584997742,-0.603404342,10.85694751,0.959175,1.502646271,1.471001043,0.947514244,2.243900926,1758,268.8296577,50.26462709,2.363701669,2.168788398,-2.403181015,8.16441903,0.8128,1.288019471,1.244265912,0.770368583,2.060295397,2051,115.2463027,28.80194711
E02001362,6.660879419,6.424380624,0.530448691,14.02544777,0.984125,1.677836963,1.623407512,1.044760547,2.604009628,1720,387.2604313,67.7836963,7.638673176,7.341671247,0.117341857,16.70336887,0.976825,1.637095726,1.58610487,1.007892196,2.558353673,2218,344.3946428,63.70957263
E02001363,3.44067197,3.292319028,-0.981179752,8.727852451,0.928675,1.433274207,1.389321079,0.900738898,2.216662635,1569,219.2907565,43.32742066,1.952881145,1.847601905,-3.330520203,7.881232277,0.752825,1.213187652,1.18271328,0.722613782,1.876173901,1870,104.4321468,21.31876525
E02001364,9.434078157,9.236836147,3.60847611,16.39800848,0.999875,2.35754026,2.286186536,1.423034251,3.693020604,1302,724.5835758,135.754026,5.195542845,5.023936502,-0.259660422,11.66470948,0.96885,1.786157491,1.721430302,0.971529407,2.981078623,1320,393.6017307,78.61574912
E02001365,9.287071712,9.049420167,2.048195158,17.82614882,0.99485,1.749136405,1.712307298,1.139956685,2.571689933,1894,490.3416954,74.9136405,11.96205842,11.71890853,2.963748357,22.21007583,0.99645,2.092276882,2.04366898,1.206318383,3.273776909,1979,604.4496421,109.2276882
E02001366,9.438114638,9.225092296,2.706570693,17.3385854,0.998525,1.955475323,1.905503735,1.226624383,2.968414403,2156,437.7604192,95.54753231,2.986175581,2.822330844,-3.47435443,10.40734772,0.794375,1.272986427,1.236472843,0.758620834,1.997212962,2125,140.5259097,27.29864274
E02001367,5.08661092,4.91802041,-1.454311252,12.59524541,0.929075,1.412612472,1.376758442,0.904242845,2.109491634,2512,202.4924729,41.26124719,5.963716007,5.736732978,-1.741446768,14.93464812,0.9282,1.447623523,1.411046731,0.894308428,2.221723141,2829,210.8065043,44.76235227
E02001368,5.572673431,5.40010535,0.012608038,12.0610935,0.9753,1.639852532,1.59368897,1.001176384,2.54477237,1611,345.9139312,63.98525321,8.812521151,8.490138502,0.285742411,19.11685769,0.978575,1.685243036,1.633024012,1.018009408,2.656383748,1787,493.1461192,68.52430359
E02001369,1.650120634,1.525343062,-3.326872346,7.303061049,0.722075,1.168700126,1.139621875,0.740684206,1.763686248,1864,88.52578509,16.87001261,3.811473822,3.595926378,-1.833906191,10.68452483,0.897575,1.415307591,1.365844344,0.839463075,2.266859468,1787,213.288966,41.5307591
E02001370,6.859686877,6.655873315,0.469797572,14.46477877,0.983625,1.615784578,1.575100531,1.034881355,2.42454239,1636,419.2962639,61.5784578,1.929690395,1.750844806,-3.65562104,8.596996281,0.7215,1.207382931,1.163673029,0.713698903,1.953197159,1701,113.4444676,20.73829305
